SiteID,ProjectCode,TesterID,Date,Time,Lot Name,Login Mode,Input,Pass,Fail,Error#,Socket Usage,Socket Usage#
MI_X,X123,FFXX,29/05/2018,00:27:00,MTAXMC18500513,OPERATOR,36,36,2,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:28:00,MTAXMC18500513,OPERATOR,30,36,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:29:00,MTAXMC18500513,OPERATOR,42,35,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:30:00,MTAXMC18500513,OPERATOR,37,36,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:31:00,MTAXMC18500513,OPERATOR,38,33,3,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:32:00,MTAXMC18500513,OPERATOR,37,35,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:33:00,MTAXMC18500513,OPERATOR,38,34,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:34:00,MTAXMC18500513,OPERATOR,37,38,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:35:00,MTAXMC18500513,OPERATOR,29,39,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:36:00,MTAXMC18500513,OPERATOR,43,36,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:37:00,MTAXMC18500513,OPERATOR,38,37,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:38:00,MTAXMC18500513,OPERATOR,37,37,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:39:00,MTAXMC18500513,OPERATOR,36,37,2,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:40:00,MTAXMC18500513,OPERATOR,36,7,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:41:00,MTAXMC18500513,OPERATOR,24,0,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:42:00,MTAXMC18500513,OPERATOR,0,28,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:43:00,MTAXMC18500513,OPERATOR,30,42,1,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:44:00,MTAXMC18500513,OPERATOR,42,39,3,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:45:00,MTAXMC18500513,OPERATOR,44,47,0,0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:47:00,MTAXMC18500513,OPERATOR,0,0,0,1,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
MI_X,X123,FFXX,29/05/2018,00:48:00,MTAXMC18500513,OPERATOR,0,0,0,1,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,144
